,FBProphet,XGBoost,Arima_rsme_optimal,arima_AIC,Actual,LSTM,Date
1172,8188.05538872054,7047.1,6943.38533998555,6931.991903157675,7044.319824,10938.37890625,2018-04-09
1173,8199.902056112478,6791.485,7039.842826888481,7056.53194816917,6795.439941,10281.7939453125,2018-04-10
1174,8183.007622104844,6853.918,6820.3006213406325,6807.251081620561,6843.470215,11050.537109375,2018-04-11
1175,8171.786468460943,6975.1016,6856.951913954575,6855.358820725541,6955.379883,10844.52734375,2018-04-12
1176,8157.570837489067,7875.835,6951.838595607864,6967.44883005938,7901.089844,9150.3173828125,2018-04-13
1177,8167.324955191281,7858.889,7914.373290867106,7914.674808476026,7874.669922,10910.4833984375,2018-04-14
1178,8184.189553073911,8010.5054,7899.8406053940735,7888.21271854361,7999.330078,11497.052734375,2018-04-15
1179,8172.086130008307,8315.082,8000.998843928049,8013.071751799571,8337.570313,9688.5400390625,2018-04-16
1180,8184.103040465442,8085.7163,8352.519036200838,8351.85048980944,8071.660156,11363.8642578125,2018-04-17
1181,8168.425901992063,7981.818,8102.196547212015,8085.517119745092,7944.430176,7527.259765625,2018-04-18
1182,8159.655569381298,8148.628,7947.619283434285,7958.084292580453,8159.27002,10802.4345703125,2018-04-19
1183,8149.247764812088,8307.098,8171.436593342268,8173.266529505588,8286.879883,11101.6259765625,2018-04-20
1184,8164.22445713561,8846.643,8312.95920643022,8301.079458475073,8848.790039,9601.15234375,2018-04-21
1185,8187.71776190799,8917.35,8843.71579434798,8863.881161574793,8925.05957,10643.443359375,2018-04-22
1186,8163.401180184754,8797.273,8952.782241315184,8940.271385541957,8794.389648,9960.3388671875,2018-04-23
1187,8164.402642980737,8946.321,8820.798961253538,8809.394638871194,8934.339844,9215.0146484375,2018-04-24
1188,8138.716766883006,9681.703,8930.457360101618,8949.566340074267,9701.030273,9086.6259765625,2018-04-25
1189,8120.704311269505,8888.653,9720.34616058799,9717.465929072569,8867.320313,11021.6142578125,2018-04-26
1190,8101.540213662335,9262.723,8914.026135065349,8882.440765714551,9290.629883,10153.865234375,2018-04-27
1191,8107.934511574157,8956.571,9270.661710048244,9306.41917992726,8939.269531,10601.1650390625,2018-04-28
1192,8122.686615852336,9339.277,8977.82956722727,8954.503824936173,9346.410156,11217.3759765625,2018-04-29
1193,8109.301922784389,9420.546,9366.099885008936,9362.287422439167,9426.110352,11539.341796875,2018-04-30
1194,8120.392428208517,9245.374,9420.588361920269,9442.113246034713,9251.469727,9125.943359375,2018-05-01
1195,8103.623358176999,9109.725,9296.551763465955,9267.197242882668,9104.599609,9795.10546875,2018-05-02
1196,8093.048545109842,9255.091,9118.0742296769,9120.095247093235,9233.969727,8351.0888671875,2018-05-03
1197,8079.568095927395,9690.446,9230.294997164776,9249.66962792837,9695.5,10297.5927734375,2018-05-04
1198,8089.657894555584,9692.068,9735.289884107067,9711.926959420482,9700.280273,7945.83544921875,2018-05-05
1199,8105.931167846898,9841.19,9710.948358178872,9716.714749678038,9845.30957,9289.0654296875,2018-05-06
1200,8091.760908311156,9622.5625,9854.198882457633,9861.97198784775,9645.669922,10770.7392578125,2018-05-07
1201,8099.684669912483,9373.063,9686.20103198874,9662.018504844336,9380.870117,8671.236328125,2018-05-08
